BLK,PLOT,Na,POSITION,SPECIES,Tillers_1,Tillers_2,Tillers_3,Tillers_4,Tillers_5,Stolons_1,Stolons_2,Stolons_3,Stolons_4,Stolons_5,Ht_1,Ht_2,Ht_3,Ht_4,Ht_5,FlrHt_2,FlrHt_3,FlrHt_4,FlrHt_5,Dead_1,Dead_2,Dead_3,Dead_4,Dead_5
2,1,y,2,sposta,11,11,12,14,13,,,,,1,1.9,4.1,6.8,9.7,14.5,,,,14,,,,,
2,1,y,3,spofim,9,13,13,15,16,,,,,,4.6,8.8,8.5,12.3,15.5,,,,,,,,,
2,1,y,4,spoioc,13,10,9,11,10,,,,,1,2.9,4.3,7.5,9.1,13,,,,17,,,,,
2,1,y,5,spocon,1,1,5,4,4,,,,,,1.8,1.8,9.5,15.2,17,,,,,,,,,
2,1,y,6,spospi,4,4,6,6,7,,,,,,2.4,2.1,3.8,5.8,6,,,,,,,,,
2,1,y,7,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
2,1,y,8,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
2,2,n,1,spoioc,2,2,1,1,,,,,,,2.9,1.8,3.2,2.8,,,,,,,,,,
2,2,n,2,spofim,2,4,5,5,6,,,,,,6.6,6.4,9.1,9.8,11,,,,,,,,,
2,2,n,3,spocon,8,6,7,10,8,,,,,,15.2,17.6,16.4,21,24,,,,,,,,,
2,2,n,4,sposta,5,3,4,4,2,,,,,,6.8,2.1,3.3,2.1,1.5,,,,,,,,,
2,2,n,5,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
2,2,n,6,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
2,2,n,7,spospi,7,10,9,15,16,,,1,2,3,8,9.5,12.6,13.2,12.5,18.7,25.5,26.5,24.5,,,,,
2,2,n,8,spopyr,16,16,17,24,19,,,,,,12.7,20.9,,34,37.6,,28.4,,,,,,,
2,2,y,1,spofim,21,21,18,17,14,,,,,,12.2,11.2,11.7,12.6,11,,,,,,,,,
2,2,y,2,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
2,2,y,3,sposta,7,7,7,9,8,,,,,,4.9,4.1,6,7,11,,,,,,,,,
2,2,y,4,spoioc,10,10,9,11,10,,,,,,5.5,5.3,9.5,12.6,20,,,,,,,,,
2,2,y,5,spocon,3,3,3,3,3,,,,,,1.6,1.6,1.6,7,9.5,,,,,,,,,
2,2,y,6,spospi,17,23,16,41,37,1,1,1,4,9,11,11.4,13.1,17.8,12,21.7,29.1,29,28,,,,,
2,2,y,7,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
2,2,y,8,spopyr,4,3,4,3,4,,,,,,13,13.2,16.8,11.2,20,,,,,,,,,
2,3,n,1,spopyr,1,1,1,1,1,,,,,,3.2,1.8,1.6,1.5,3.5,,,,,,,,,
2,3,n,2,spofim,3,5,5,6,13,,,,,,5.6,12.2,16.3,20.7,39,,,,,,,,,
2,3,n,3,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
2,3,n,4,sposta,11,11,10,13,17,,,,,2,2.9,6.3,10.2,15.6,21,,,,23,,,,,
2,3,n,5,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
2,3,n,6,spocon,9,7,9,7,10,,,,,,8.1,13.1,15,14.3,18,,,,,,,,,
2,3,n,7,spospi,6,8,8,20,41,,,1,4,4,2.2,4.5,5.2,5.4,8.5,,,,,,,,,
2,3,n,8,spoioc,3,7,8,6,16,,,,,,2,4.5,7.1,9.1,16.5,,,,,,,,,
2,3,y,1,sposta,7,11,13,16,17,,,,,,3,5.5,6.8,9,13,,,,,,,,,
2,3,y,2,spofim,3,3,3,3,3,,,,,,3.6,6.5,9.5,9.6,11,,,,,,,,,
2,3,y,3,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
2,3,y,4,spocon,2,5,5,7,10,,,,,,7.3,10.1,12.1,21,15,,,,,,,,,
2,3,y,5,spospi,6,8,8,10,16,,,,,1,2.4,5.8,6.9,5.9,8.5,,,,,,,,,
2,3,y,6,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
2,3,y,7,spoioc,3,6,4,4,9,,,,,,2,5.7,8.5,9.5,14,,,,,,,,,
2,3,y,8,spopyr,13,13,18,24,19,,,,,,11.7,18.1,23,27,24,,,,,,,,,
2,4,n,1,spofim,3,9,9,12,18,,,,,,8,11.6,16.8,5.5,16.5,,,,,,,,,
2,4,n,2,spoioc,7,7,5,7,8,,,,,,2.8,4.7,3.1,4,3,,,,,,,,,
2,4,n,3,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
2,4,n,4,spopyr,9,9,10,14,25,,,,,,15,16.4,15.5,18.1,17,,,,,,,,,
2,4,n,5,sposta,12,9,17,29,23,,,,,,4.2,4.9,6.5,7.2,10,,,,,,,,,
2,4,n,6,spocon,6,10,14,13,12,,,,,,8.8,16.5,26.5,27.2,27,,,,,,,,,
2,4,n,7,spospi,5,5,13,17,21,,,2,3,2,2.5,5.2,8.9,10.2,12,,,,,,,,,
2,4,n,8,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
2,4,y,1,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
2,4,y,2,sposta,7,10,14,15,11,,,,,,1.6,3.3,5.3,7.5,8.5,,,,,,,,,
2,4,y,3,spospi,15,14,13,19,22,,,1,1,2,2.4,5.2,8.9,9.8,12,,,,,,,,,
2,4,y,4,spocon,5,5,5,4,4,,,,,,7.3,7.3,7.3,16,12,,,,,,,,,
2,4,y,5,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
2,4,y,6,spoioc,12,12,15,16,15,,,,,,4.6,5,9.1,13.9,17,,,,,,,,,
2,4,y,7,spofim,2,4,4,3,4,,,,,,6.7,15.2,21,16.9,26.5,,,,,,,,,
2,4,y,8,spopyr,2,2,2,2,3,,,,,,8,9.4,13.4,13.6,12,,,,,,,,,
2,5,n,1,sposta,7,7,9,8,7,,,,,,5.4,5.1,9.3,9.9,5,,,,,,,,,
2,5,n,2,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
2,5,n,3,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
2,5,n,4,spofim,3,6,5,5,5,,,,,,3.9,6.5,8.5,11,13,,,,,,,,,
2,5,n,5,spopyr,3,7,5,5,9,,,,,,5.5,12.2,18,14.5,17,,,,,,,,,
2,5,n,6,spocon,10,7,13,19,24,,,,,,14.8,13.9,18.5,22.6,35,,,,,,,,,
2,5,n,7,spospi,5,5,12,11,16,,,2,2,4,4.7,5.6,5.8,5.3,5,,,,,,,,,
2,5,n,8,spoioc,8,19,17,19,18,,,,,,3.3,3.9,5.3,6.4,8,,,,,,,,,
2,5,y,1,sposta,6,8,10,8,6,,,,,,5,6.9,8.7,8.9,10,,,,,,,,,
2,5,y,2,spofim,8,9,10,7,7,,,,,1,2.4,7.8,11.9,18.7,23,,,,30,,,,,
2,5,y,3,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
2,5,y,4,spocon,10,10,11,10,9,,,,,,7.9,15.7,21,25.3,32,,,,,,,,,
2,5,y,5,spospi,12,12,10,11,13,,,,,3,4,5.2,6,7.8,9.5,,,,9.5,,,,,
2,5,y,6,spoioc,4,5,5,5,5,,,,,3,3.5,5.8,9.9,6.7,13,,11.5,24,25,,,,,
2,5,y,7,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
2,5,y,8,spopyr,7,7,7,8,7,,,,,1,14.8,15.2,26,34.5,50,19.4,22.8,29.8,44.5,,,,,
2,6,n,1,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
2,6,n,2,spospi,5,8,7,7,6,,,,,2,11.9,13.2,15.4,14.5,18,21.4,26.3,26.2,26.5,,,,,
2,6,n,3,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
2,6,n,4,spocon,1,1,4,6,6,,,,,,3.4,3.4,8.6,13.1,16.5,,,,,,,,,
2,6,n,5,spoioc,4,11,8,8,8,,,,,,12.1,12.9,14.6,17.5,20,,,,,,,,,
2,6,n,6,sposta,4,4,5,5,5,,,,,,1.2,1.2,5,8.1,5,,,,,,,,,
2,6,n,7,spopyr,12,12,11,13,9,,,,,,9.1,13,16.8,20.2,24,,,,,,,,,
2,6,n,8,spofim,3,5,7,6,7,,,,,,15.6,14.2,13.5,15.6,17,,,,,,,,,
2,6,y,1,spopyr,11,11,10,9,10,,,,,,11,17.1,22.5,29,34,,,,,,,,,
2,6,y,2,spospi,3,4,2,3,3,,,,,,2.3,15.2,6.6,9.5,8.5,,,,,,,,,
2,6,y,3,spocon,1,1,1,1,2,,,,,,5,5,5,12.8,15,,,,,,,,,
2,6,y,4,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
2,6,y,5,spoioc,3,4,4,4,3,,,,,,3.8,5.5,9,12,16,,,,,,,,,
2,6,y,6,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
2,6,y,7,sposta,3,11,13,12,10,,,,,,2.8,7.5,9,14.1,15,,,,,,,,,
2,6,y,8,spofim,7,10,12,10,9,,,,,,4.8,14.3,20,24.5,29,,,,,,,,,
2,7,n,1,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
2,7,n,2,spospi,7,8,9,12,15,,,1,1,3,2.8,4.1,4.6,5.5,6,,,,,,,,,
2,7,n,3,spofim,13,13,13,20,15,,,,,,9,8.2,10.7,12,13,,,,,,,,,
2,7,n,4,sposta,9,10,9,12,13,,,,,,2,4.1,7.1,7.8,12,,11.2,13.9,,,,,,
2,7,n,5,spoioc,5,11,9,8,9,,,,,,3.8,5.4,6,8,10,,,,,,,,,
2,7,n,6,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
2,7,n,7,spocon,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
2,7,n,8,spopyr,1,4,8,3,5,,,,,1,7,9.5,15.1,18.6,20,,,26.2,30,,,,,
2,7,y,1,spofim,2,4,5,7,7,,,,,,6.3,10.2,11.1,12.6,13,,,,,,,,,
2,7,y,2,spospi,5,9,7,6,16,,,,,,4.3,5.3,7.8,10.3,11,,,,,,,,,
2,7,y,3,soil_1,,,,,,,,,,,,,,,,,,,,,,,,
2,7,y,4,soil_2,,,,,,,,,,,,,,,,,,,,,,,,
